ticker,date,q,texto
META,"Apr 29, 2020, 5:00 p.m. ET",2020-Q1,"rtant opportunity to serve small businesses and enable commerce there over the long-term. By bringing together JioMart, which is Jio's small business initiative to connect millions of shops across India with WhatsApp, we think that we're going to able to create a much better shopping and commerce experience. And there's a lot more that we can do here, and I'm looking forward to making progress with the team at Jio. Now beyond our immediate plans to help respond to the pandemic. I also want to share some reflections on how we're planning to run the company during this period. I have always believed that in times of economic downturn, the right thing to do is to keep investing in building the future, and I believe this for a few reasons. First, when the world changes quickly, people have new needs and that means that there are more new segments to build. Second, since many big companies will pull back on their investments, there are a lot of things that wouldn't otherwise get built, but that we can help deliver. And the third, I believe that there is a sense of responsibility and duty to invest in the economic recovery and to provide stability for your community and stakeholders if you have the ability to do so. And we're in a fortunate position to be able to do this. Along with our strong financial position and the important social value our services provide, we're planning to hire at least 10,000 more people in product and engineering roles this year, so we can continue building and making progress. Now that said, with advertiser spending less than our business performance below expectations, we do plan to moderate some areas of our expense growth especially in business functions. We accepted our profit margins will decrease this year as we continue investing. And Dave will share more on our financial outlook in a few minutes. But this economic pullback has certainly reinforced for me the importance of maintaining high margins. Our financial position has allowed us to continue investing in building products and making investments like our partnership with Jio, even when the underlying economic conditions are challenging. As always, I am grateful to everyone on this journey with us and that's especially true during this period. As our services play in an especially important role right now, in helping people stay connected and assisting the public health response and working on the economic recovery, I really want to thank all of our employees who are working hard to deliver these services and everyone who has believed in us and supported our company over the years to help us get to the point where we can deliver these services for people around the world. So, thank you. And with that, here is, Sheryl to talk more about our business. Sheryl Sandberg -- Chief Operating Officer Thanks, Mark, and hi everyone. As Mark said, this is an extraordinarily challenging time. It's a public health emergency, a global economic crisis and a time of great anxiety and personal tragedy for so many. My heart goes out to everyone on this call who has lost someone they love, and to everyone for the many ways so many are suffering. Mark talked about how our company has responded during this emergency to keep people safe and informed. How we see our responsibilities and how we are thinking about the future. I'm going to talk more about the impact we have seen in our business and what we are doing to help other businesses survive and recover in this changing landscape. Our total ad revenue for Q1 was $17.4 billion, which is a 17% year-over-year increase. After a strong start to the quarter, we saw a significant impact on our business as a consequence of the pandemic from the second week of March onwards. This impact has not been felt evenly. We've seen strong growth in gaming and relative stability in technology and e-commerce, which is one of our largest sectors. There are few contributing factors here. First, as people stay at home, these sectors are seeing more use of their products and services. Second, advertisers in these sectors tend to o"
TSLA,"Jan 29, 2020, 6:30 p.m. ET",2019-Q4,"olar retrofit and Powerwall, Powerpack, all those things too. So where we will be in 10 years, very excited to consider the prospect. Martin Viecha -- Senior Director of Investor Relations Thank you very much Elon and Zachary some opening remarks as well. Zachary J. Kirkhorn -- Chief Financial Officer Yeah. Thanks, Martin. This past year was truly transformational for Tesla and I want to thank everyone who has been a part of making this happen. On 2019 a few key points I'd like to highlight. On demand, while we've mentioned a few times, it's worth highlighting once again. Over the course of the year we've transitioned entirely from generating Model 3 orders from a reservation backlog to generating new and organic demand. We've also seen a stabilization of Model 3 ASPs even increasing slightly in Q4 and we've seen an increase in ASPs of S and X after the launch of the longer-range versions in Q2. With respect to capacity expansion, we've greatly learned from the development and launch of Model 3 in Fremont and Reno. As a result, we've been able to bring new production capacity on board faster and with less cost. This is evidenced by the launch of Model 3 in Shanghai, as well as Model Y in Fremont, programs that were both launched in under one year. Financially, we have demonstrated multiple quarters of strong cash generation, enabled to higher volumes, improvements to capital efficiency, progress on working capital management and continued improvement in our product and operational costs. And we're able to achieve positive GAAP net income in both Q3 and Q4 for many of the same reasons that enabled strong cash generation. We've also made progress on recurring and software-based revenue with the implementation of premium connectivity and the beginning of upgrades available for purchase via the Tesla mobile app. Finally on stock-based compensation, it increased sequentially by $82 million, driven almost entirely by an expense related to the next tranche of the CEO grant. This is a result of our improved, expected financial performance of the company, which the CEO stock grant is tied to. As we look ahead to 2020, this again will be an important year for the company. Our task ahead is to execute on the next phase of growth, while managing cash flows to support that growth. On Model Y, we expect first deliveries and limited quantities later this quarter and will ramp over subsequent quarters. As mentioned previously, we are forecasting higher gross margins on Model Y compared to the Model 3. This year for the Shanghai built Model 3, we expect to achieve run rate production and delivery rates. In addition, we expect to have completed the majority of plant supply chain localization at the factory or in the region. This is one of the most important components to achieve lower production costs for the site. We are also seeing strong order rates for the locally built Model 3 and remain focused on continuing the production ramp and managing costs. We also anticipate significant progress on factory construction of the Shanghai and Berlin built Model Y, which will result in continued increases in capital spending. On operating expenses, I expect an increase over the course of the year to support our growing product pipeline and international footprint. However, OpEx growth should increase at a lower rate than top line revenue. Overall, we believe this will set us up for a strongest annual financial performance yet, with sufficient forecasted cash flows to support investments related to our growth and further strengthening of our balance sheet. For Q1, please keep in mind that the industry is always impacted by seasonality. Additionally, we are in the process of ramping two major products Model 3 in Shanghai and Model Y in Fremont, which I expect will temporarily weigh on our margins. We are also in the early stages of understanding if and to what extent we may be temporarily impacted by the Coronavirus. At this point, we're expecting a 1 to 1.5 week delay in the ramp of Shanghai built Model 3 due to a government required factory shutd"
GOOGL,"Feb 01, 2022, 5:00 p.m. ET",2021-Q4,"can. The web has always evolved, and it's going to continue to evolve. And as Google, we have benefited tremendously from open-source technologies, and so we do plan to contribute there. There's several areas of interest. AR is a big one at the computing layer. We've been investing there for a long time, we'll will continue to play a role. And it's something both -- not just with the computing layer, but services layer, be it Maps, YouTube, Google Meet, etc., I think, will contribute a lot. On Web3, we are definitely looking at blockchain, and such an interesting and powerful technology with broad applications so much broader again than any one application. So as a company, we are looking at how we might contribute to the ecosystem and add value. Just one example, our Cloud team is looking at how they can support our customers' needs in building, transacting, storing value and deploying new products on blockchain-based platforms. So we'll definitely be watching the space closely and supporting it where we can. Overall, I think technology will continue to evolve and innovate, and we want to be pro-innovation and approach it that way. Ruth Porat -- Chief Financial Officer And in terms of headcount, we do continue to be a magnet for great talent. The number of applications is up year-on-year. And as I said, as you noted, we added almost 6,500 people in the fourth quarter. We do expect the strong pace to continue. And it really goes to comments from Sundar, from Philipp and from me. We're excited about the opportunities ahead of us, in particular, Google Services, Google Cloud, we're adding. We intend to ensure we have the scale that we need to execute well. And so we're continuing to hire. As I said, the majority were again in technical roles, and really pleased with the opportunities we see ahead. Doug Anmuth -- J.P. Morgan -- Analyst Thank you. Operator Thank you. And our next question comes from Eric Sheridan from Goldman Sachs. Your line is now open. Eric Sheridan -- Goldman Sachs -- Analyst Thank you so much. Maybe two questions, if I can. First, following up on Doug's question. Susan has been writing a fair bit on YouTube and the way it's exposed to the creator economy and which you're trying to build for the medium to long term. Can you talk about elements of the creator economy and how it sort of fits into your products, both on the advertising side and the commerce side over the medium to long term? And then, Ruth, maybe just one follow-up on the expense side. Was there anything of a onetime nature in Q4? Because just looking at some of the corporate expense or some of the elements of the core margin, just trying to make sure if there were any one-timers that needed to be called out. Because I think you talked about legal and charitable donations as well, just so we could model that right. Thank you. Sundar Pichai -- Chief Executive Officer On YouTube. Look, one of the -- YouTube, from day 1, it's been very focused on making sure we can support creators while it's been a big part. And even recently, I mentioned in my remarks earlier about the growth we are seeing not just in ads, but beyond ads, with Super Chat, Channel Memberships and so on. Susan mentioned in her creative letter that, while early, they'll be taking a look at NFT and so on, with the view toward making sure the user experience works and -- but there is value, we are constantly thinking about how we can support and do more for creators. So that's going to be an integral part. I think all the commerce experiences we are thinking about in YouTube is a whole additional layer of opportunity. And again, it's another area where it all feels very early to me. We are seeing tremendous traction in YouTube across newer areas, be it podcast, gaming, learning, sports. And so across all these areas, we'll kind of take a vertical-specific look and see how we can support creators better. Ruth Porat -- Chief Financial Officer And then in terms of expense, I gave a number of the items. R&D was mostly an increase in headcount. In sales and marketing, I would note th"
GOOGL,"Jul. 30, 2020, 4:30 p.m. ET",2020-Q2,"ey normally do of cloud capacity. So if you can kind of talk about the puts and takes to the growth as well, that'd be great. Thank you. Sundar Pichai -- Chief Executive Officer Thanks, Heather. Overall, from my vantage point, obviously with Google Cloud, we've been investing to scale up especially on the people side, on engineering, go to market and then obviously, on our investment side with data centers, cloud regions and so on and so for me it's been good to see as we are scaling up, we are executing more effectively. I've been personally involved in many, many conversations last quarter. We had many large customers come on to cloud, big telco deals and banking deals, Deutsche Bank as an example. So, overall I felt the momentum was strong. Generally felt like things were continuing well through the course. Felt like more a secular interest in our digital transformation. Companies are deeply thinking long-term and planning for it. So, overall I felt that the momentum was there and I felt our execution as we are scaling up, obviously, we are scaling up a lot and so the combination is working well. Your second question in terms of puts and takes. Overall, I think there are, I wouldn't -- I don't know whether there's anything significant worth me highlighting. Obviously, you are right to point out that it doesn't affect everyone the same, but nothing significant for me to highlight here today. Heather Bellini -- Goldman Sachs -- Analyst Thank you so much. Operator Thank you. And our next question comes from Brian Nowak from Morgan Stanley. Your line is now open. Brian Nowak -- Morgan Stanley -- Analyst Thanks for taking my questions. I have two. The first one, Sundar, we try to always figure out changes in consumer behavior. I guess as you have sort of been studying what people have been doing through shelter-in-place and from the way things are changing from a consumer perspective, talk to us about areas you're most focused on investing in and driving your teams to create new products to really help consumers with their changing habits. And then the second one, Ruth, I know, as we sort of we look ahead with potentially a larger percentage of the workforce work remote or work from home without looking for quantification, maybe just talk to us about some puts and takes or areas where you could see either efficiency or higher potential costs from a larger percentage of the workforce being remote over the long-term. Thanks. Sundar Pichai -- Chief Executive Officer On the first one, there is -- the shift to online is profound. We see people engaging a lot, doing newer things than they did before. People's interest are broadening I would say across the board and so for example, we are -- for me, I'm looking at different types of user journeys and making sure each of them is getting deeper and better. So for example in Google, as people have started coming for more health-related information, how is that experience working? Thinking about that for the long-term and investing in it. I obviously spoke about shopping earlier and that's been a big focus for us. Education in general and when we think through small medium businesses and bigger companies, thinking through collaboration where G Suite's potential is, the investments we are undertaking, all that is very exciting to me, but I would say cutting underneath all that, maybe while we didn't talk about it, really focused on our AI teams doing the investments they need, evolving our next generation TPUs and the team is building better models and better algorithms, all that I think our ability to do more things is something I'm really interested in and focused on as well. So that's something I'm excited about for the longer-term. Ruth Porat -- Chief Financial Officer And then in terms of your question about work from home. I think it's a great point because obviously it feeds so much into a lot of the product work that we're doing in Cloud through G Suite etc. So that's where I would actually start, but I appreciate what you're asking is how we're looking at our own cost base an"
JPM,"Jul 13, 2021, 8:30 a.m. ET",2021-Q2,"g, disrupting in the U.K. But since you wrote your CEO letter, Jamie, I mean, it's only gotten more competitive from the fintechs and big tech and big retail and everybody else. And that's a question that comes up probably to everyone on this call. Are you going to be disintermediated over the next five years, whether it's -- you know all the companies, but it just seems like they're ramping up that much more. You have an executive order from the White House, maybe you have to share data. What's your current mark-to-market of the threat from outside of banking to your business? Jamie Dimon -- Chief Executive Officer Yeah. I don't feel any different thing when I wrote the Chairman's letter. I think we have huge competition in banking and shadow banking, fintech and big tech and Walmart. And obviously, there's always a changing landscape, but we also have a huge -- we've got brands and capability and products and services and market share and profitability. I think some of these competitors are going to do quite well. I think a lot of them will succeed over time. But that's called good old American capitalism. I'm quite comfortable we'll do fine. I do think there's going to be a lot of people still in the banking business. I'm talking in about five or 10 or 15 years. I think one day you're going to recall which one who took a shadow bank or, I mean, the banks who will shadow -- will be shadows themselves. Mike Mayo -- Wells Fargo Securities -- Analyst All right. Thanks, Jeremy. Jeremy Barnum -- Chief Financial Officer Yeah. We're working hard to make sure that we're offering services that are not disruptible because they're good. So if our clients are happy, and we're providing them a great experience, then there's nothing to disrupt. Mike Mayo -- Wells Fargo Securities -- Analyst All right. Thanks, Jeremy. Thanks, Jamie. Operator Our next question is coming from the line of Ebrahim Poonawala from Bank of America Merrill Lynch. Please go ahead. Your line is open now. Ebrahim Poonawala -- Bank of America Merrill Lynch -- Analyst Good morning and thanks for taking my question. I guess just sticking with the digital strategy. We heard Jamie talk about multiple times around the lack of imagination that cost the banking industry in terms of either payments or buy now pay later, and you talked about your international expansion. But again, going back to Mike's point, as shareholders of banks in the U.S., should the expectation be that banks will be fast followers of what fintech comes up with and replicating that, given the risk of cannibalizing your own sort of revenue set? Or do we expect, or do you think we should expect, more disruptive innovation coming from banks in the United States on consumer banking? Jamie Dimon -- Chief Executive Officer I think it's both. I mean, it's not an either/or question. And remember, a lot of these banks have done quite well. Clearly, Bank of America has done quite well in digital products and stuff like that. So when I said the lack of imagination with the whole company, I mean, when you look at some of these things, it was -- we could have imagined more why they've become the competitor down the road. So some of these competitors are quite good at I call it buying and weaving. They start with one little thing. They had product. They have services. They had eyeballs. They had customers, and they find ways to monetize it. So we've got to be a little more forward-looking in how they're looking at the active guys and stuff like that. But in our case, there'll be a little bit of everything. Jeremy Barnum -- Chief Financial Officer Yeah. And I would just say the whole like cannibalization and fast following thing, I think we've moved a little bit beyond that. Like there will be times where we have the first idea, and we're eager to lean in and innovate that way. There will be times when someone else has the first idea, and we're eagerly copying it. But the whole -- we don't want to do this thing that makes sense with the customer because we might be cannibalizing our own revenues, that's a recipe"
AMD,"Oct 26, 2021, 5:00 p.m. ET",2021-Q3,"ng to 12 months from now, would you be surprised if you gained another 500 basis points next year? And sort of where do you think about where that share can go? Lisa Su -- President and Chief Executive Officer Yeah. So, you know, I think, overall, our server trajectory has been very strong. I mean I think we're very pleased with the trajectory here in 2021. I think having a number of quarters where we're doubling the revenue year on year kind of speaks to the progress there. As we go into 2022, we still believe we are a share gainer in that environment just given the strength of our portfolio and let's call it, platforms that are still yet to launch across our customer set. So we're continuing to play out the strategy of a data center being a place where our technology is very differentiated. And we think that's true in the third generation with EPYC, and we certainly are very focused on ensuring that the next generation with Zen 4 and Genoa are similarly well-positioned in the marketplace. Timothy Arcuri -- UBS -- Analyst Thanks a lot. Laura Graves -- Corporate Vice President, Investor Relations Thank you, Tim. Operator We reached the end of our question-and-answer session. I'd like to turn the floor back over for any further or closing comments. Laura Graves -- Corporate Vice President, Investor Relations We're good. Thank you very much, operator, and thank you to everyone for joining us today. We appreciate your time and participation and your support of AMD. Have a good afternoon. Operator [Operator signoff] Duration: 53 minutes Call participants: Laura Graves -- Corporate Vice President, Investor Relations Lisa Su -- President and Chief Executive Officer Devinder Kumar -- Executive Vice President, Chief Financial Officer, and Treasurer Blayne Curtis -- Barclays Investment Bank -- Analyst Vivek Arya -- Bank of America Merrill Lynch -- Analyst Matt Ramsay -- Cowen and Company -- Analyst Toshiya Hari -- Goldman Sachs -- Analyst Stacy Rasgon -- Sanford C. Bernstein -- Analyst Joe Moore -- Morgan Stanley -- Analyst Aaron Rakers -- Wells Fargo Securities -- Analyst John Pitzer -- Credit Suisse -- Analyst Chris Caso -- Raymond James -- Analyst Ross Seymore -- Deutsche Bank -- Analyst Timothy Arcuri -- UBS -- Analyst More AMD analysis All earnings call transcripts"
META,"Jul 24, 2019, 5:00 p.m. ET",2019-Q2,"we're pushing forward on all of these issues and should have more to talk about soon. Operator Your next question comes from Michael Nathanson from MoffettNathanson. Michael Nathanson -- MoffettNathanson -- Analyst Thanks. I have two, one for Sheryl and Dave and one for Mark. So Sheryl and Dave, you noted the growth I guess in Europe this time in acceleration. And can you talk a bit about maybe the regional development of Stories and either the embracing the advertising community or the user community by region. And then, for Mark on the answer on currency arguably Crypto is going to take a long time to you to get approval or to build a product. Do you see building a fiat currency wallet for Facebook and Instagram. I know it's about WhatsApp but how does another title wallet non-crypto wallet develop if it takes a while for the other products to rollout meaning Crypto takes a while for approval. So does non-crypto fiat currency become an opportunity for you? Dave Wehner -- Chief Financial Officer Hey, Michael, it's Dave. I guess we're not really providing detail on region. I would say Stories is today from an impression growth perspective really about Instagram Stories. So it maps where we've got good adoption of Instagram globally. So we're certainly seeing good growth in places where Instagram is strong, including the U.S., so that's been good to see. And as we continue to work on Facebook Stories, we'll have more opportunity as well with Facebook and will map to the reasons where Facebook is stronger. So I think we're seeing good growth on Instagram. I think that will continue and continue to drive impression growth and then we hope to continue to make progress on Facebook where we're seeing growth, but it's off a smaller base. Mark Zuckerberg -- Chief Executive Officer And on payments, I mean, the short answer is, yes, we're very focused on payments with fiat currencies as well and making it so that when you pay in one service, whether it's WhatsApp or and Instagram Shopping or in Marketplace your credentials can be shared and there's a shared payment system across all those things. So that's a -- certainly a big area for investment. Overall these areas around commerce and payments, I think are one of the most exciting areas of product development for the next several years. I mean the way that we kind of see the products now is we've helped people map out and wire up their networks over the last several years, and now in each of these apps we have opportunities to help people get more value from the networks that they've created in some of that is going to be on the social side, especially around creating communities and groups and some of it is going to be more on the economic and opportunity side and there we're doing a whole lot of projects. I know that we Libra is the one that has gotten the most attention recently, but it's really just one of a set of things everything from Instagram, Shopping which is going to help people connect to brands and emerging creators to Facebook marketplace, which is more consumer-to-consumer paying and buying and selling used goods to things like WhatsApp business, which is more about connecting with small businesses and then across the payment landscape, helping people do payments and existing currencies and also trying some newer approaches that can hopefully bring down the cost of doing payments around the world. We're just very excited about all the -- everything in this area and it's one of the biggest areas that we're focused on for the next several years. Operator Your next question comes from Ben Schachter from Macquarie. Ben Schachter -- Macquarie -- Analyst Mark in 1Q, you mentioned specifically that GDPR had an impact on the business. I was just wondering if you can give an update on that? And then longer term on Facebook, you focused a few times now on buying and selling goods there. Just wondering if you can comment on how you think of services versus goods for example monetizing recommending a house painter versus selling a widget. And also can you talk about the tim"
V,"Oct 26, 2021, 5:00 p.m. ET",2021-Q4,"next five or even 10 years, a, does that reverse? And, b, as part of the U.S. growth, just all the new fintech stuff that's happened in the U.S., just creating a lift that is allowing kind of that outpacing. Al Kelly -- Chairman and Chief Executive Officer Well, I think, David, it's a combination of things. It certainly is the explosion of some of the neobanks and fintechs, although you're seeing those really develop all the way around the world. I would also say though that our Visa Direct platform is much more mature in the United States than it is in other markets. Vasant somewhat alluded to that point in his remarks. And that has certainly helped spark some of the growth as well. I also think that the U.S., prior to the pandemic at least, was more advanced in e-commerce capabilities and was much -- adjusted even more quickly than other markets might have as we saw a rapid move toward cash digitization as COVID set upon us in March of 2020. All that said, we are setting out to invest around the globe and we want our business to grow in all markets and territories in which we do work. We're more than happy to have the U.S. continue to grow. But I think as I look at the future of the business over the next five to 10 years, I expect still healthy growth in the United States, but I do expect our volumes to continue to grow in a nice way around the world. I mean you saw it this prior quarter. As good as the growth was in the U.S. in the quarter, both Latin America and CEMEA had very, very strong quarters. And international growth was really held back by Asia Pacific, which has really been hit very, very hard by lockdowns and restrictions as a result of the pandemic. Vasant Prabhu -- Vice Chairman and Chief Financial Officer And the one other thing I might add as we look ahead, I mean all the things Al said, the reason international is a little held back right now is because Asia, which is almost 20% of our payments volume, is only growing at the levels -- the low single-digit levels because they're largely still not open. The one thing to think about as we look ahead, as we said earlier, as Al said in his comments, contactless payments are already 70% penetrated outside the U.S. So that's still a growth engine in the U.S. that is just beginning to take off. And given the size of the U.S., that will be a meaningful contributor to transactions growth. And we also know that tap to pay digitizes cash and allows us to capture a much larger share of transactions at the point of sale. David Koning -- Robert W. Baird -- Analyst Thanks, guys. Great. Operator Thank you. James Faucette from Morgan Stanley. You may go ahead, sir. James Faucette -- Morgan Stanley -- Analyst Thank you very much. Al, I want to go back to one of the comments that you made as it relates to buy now pay later and the growth of that and how you see that as a growth avenue for Visa. Can you talk a little bit -- I think I conceptually get the idea of expanding acceptance and the advantages that Visa can provide there? But can you provide a little bit more color on like how you think that evolves and what those transactions will look like in a way that will benefit Visa? Thank you very much. Al Kelly -- Chairman and Chief Executive Officer Well, I think in the short term, James, we're seeing many, many of these players use us and use our credentials, whether they're virtual cards or debit or credit cards, to actually pay off the various installments. And so we're getting -- instead of one transaction, you know, we're getting four transactions. And certainly, that's very good for us. The point I was making is that in many ways, BNPL is a closed-loop capability somewhat akin to what wallets were three years ago. And, you know, closed loops just end up hitting a wall. They don't end up -- they end up hitting a wall where it's hard to scale. It's hard to bring the level of -- and depth of choice that you can to your customers. And so what I think is going to happen is that BNPL players will become issuers who will issue Visa credentials that will have the -- their"
META,"Jul 27, 2022, 5:00 p.m. ET",2022-Q2,"atars store with digital clothes from leading fashion houses. And we're going to continue expanding that selection and the fidelity of our Avatar system overall. On the hardware front, later this year, we'll release Project Cambria, and the experience here is getting pretty awesome. It will be a high-end device focused on professional users and work with high-resolution color mixed reality. I'm really looking forward to getting this one out. This is just one milestone in the long-term path, but I think people are going to be pretty blown away by this. All right. So those are the areas that I'm most focused on right now and that I think are going to have the greatest impact on our products and business over the next few years and much longer. Periods like this can be tough, but I really think that the additional focus and discipline are going to make us stronger over time. Now in addition to our business, this is also a period of transition for our leadership team. And before I hand it over to Sheryl for what will be her last earnings call, I want to thank her for everything that she has done for Meta, for our community, and for so many small businesses around the world. It's really hard to overstate how big of an impact that Sheryl has had on so many different parts of what we do and on me personally. At the same time, and Marne are our talented leaders who I've worked with closely for many years. They're the type of people who I've kept giving more and more responsibility to and they just keep crushing it, so the expanded roles are well deserved. And I think that they're going to do a great job carrying our business forward and expanding it in some exciting new ways. And we also shared the news this afternoon that Dave Wehner will be transitioning into a new role as our chief strategy officer, overseeing our strategy and corporate development teams. Dave has done great work as our CFO, and I'm really looking forward to continuing to work with him in this new role. And as part of this, we're also promoting Susan Li to be Meta's new chief financial officer starting later this year. Susan is an incredibly talented executive and I think she'll be an excellent CFO. She already runs our financial planning process and plays an important role on our leadership team, and this transition is something that we've been working on for years. All right. With that, I'm going to hand it over to Sheryl. Sheryl Sandberg -- Chief Operating Officer Thank you, Mark, for those kind words and for being a great leader and friend for the last 14 years. It has been an enormous privilege to work for you to help build this remarkable company. I'd like to focus on Q2 before making some wider observations about the business. Our total revenue in Q2 was $28.8 billion, a decrease of 1% year over year. Foreign exchange trends had a significant impact in Q2, in particular, the depreciation of the euro relative to the dollar. On a constant currency basis, we would have seen 3% revenue growth year over year. Similar to last quarter, we saw solid growth in APAC and other parts of the world outside of North America and Europe, where it's been a more challenging environment. These continue to be turbulent times for the global economy. Many of the macro factors having an impact on our revenue are continuations of things we've seen in previous quarters, such as the continued impact of the war in Ukraine and the normalization of e-commerce after the pandemic peak. But there are also new challenges with rising inflation and uncertainty around a looming recession. We know that recessions put pressure on marketers to make sure their ad budgets are spent in the smartest way possible. We're focused on helping them run efficient marketing campaigns to get the best possible return on investment, including helping them shift their ad strategies on our platform in line with user trends and our own evolving ad solutions. I want to pick up on some of the themes Mark just touched on that show how we're doing this: Reels monetization, evolving our ad system, and AI and machi"
MA,"Jan 28, 2021, 9:00 a.m. ET",2020-Q4,"y're going to do more digital banking, more online purchasing and more contactless. So I think that will just remain. As I said earlier in my prepared remarks, once you can venture out there and social distancing measures are relaxed, people will want to go and shop in their stores, in their local community, support the local restaurant, whatever it is. But the good experience, as people started to appreciate and learn online, that will not go away. So the good thing is we'll have two legs to stand on with our business. We'll benefit from both of them. Other structural trends that I see is more digital transactions, more data, more desire to understand the data. Data Insights, our service portfolio is on point for that. The same as more digital transactions, larger cyber footprint, potentially more risks. And a bunch of new businesses coming online that have been brick-and-mortar only, that's an opportunity for us from a cybersecurity perspective. And then there's a whole cross-border thing digitizing supply chains, B2B. I would say that's the other structural change that people take away from the pandemic. Darrin Peller -- Wolfe Research -- Analyst That make sense. Thank you. War Kneeshaw -- Head of Investor Relations Next question, please. Operator Our next question is from Lisa Ellis with MoffettNathanson. Lisa Ellis -- MoffettNathanson -- Analyst Good morning. And Michael, congrats again. In the prepared remarks, you highlighted the addition of Finicity to Mastercard's open banking portfolio. Can you elaborate a bit on how you're thinking about open banking where a payment or funds transfer could be made with debit, with Mastercard Send, with Fast ACH or RTP? Can you just comment a bit on how Mastercard's role differs, value-added differs, economics differ across all of these different methods of payment? And are you agnostic or not? Why? Why not? Thank you. Michael Miebach -- Chief Executive Officer Yeah. That's a pretty broad question, Lisa. So let me tick the first part of it, and then Sachin can talk around the economics and the business all behind that. Broadly speaking, the way we look at open banking is, it's adding data transmission capabilities as well as an additional set of transaction rails. We can initiate payments through open banking, permission API connections. We can do that. But we also can just verify assets or help in credit decisioning. So it's a wide range of use cases, and we're pretty agnostic what they are. We're quite happy to initiate payments directly through reassigned payment rails but also the combination of a market where there is real-time payment infrastructure. There is an open banking regulation as in Europe. The fact that we have a strong position in both allows us to leverage the combination of that quite effectively. That is one of the things that Tesco does with us. The proposition that Tesco is offering is you pay your credit card very simply through an open banking connection, leveraging the real-time payment rails. That's check, check, check, and it's a good combination for us. Overall, where is this going to go? I see it as an additional leg in our multi-rail strategy. So one link into Mastercard. You want to pay through an open banking trend link, you want to pay through real-time payments, you want to pay through cards, whatever it is, one thing is through Mastercard. That's the overall strategy. Finicity helps us clearly in the United States. But as I said before, these use cases that they have on asset verification and on credit decisioning, they are so in demand at this point in time. Taking them to Europe as quickly as possible will matter. Now Sachin, can help you unravel some of these business models behind that. Sachin Mehra -- Chief Financial Officer Yeah. So -- hey, Lisa. Just a couple of thoughts around that. I think you're quite familiar with the way we think about what constitutes our yield as a business, right? It's across infrastructure, applications and services. And I would tell you whether it's our card rails or it's our real-time ACH rails or it's open b"
AAPL,"Jul 30, 2019, 5:00 p.m. ET",2019-Q3,"eir iOS and iPad iOS apps for the Mac. I'll have a bit more to say on that in a moment. I'd like to provide some color on our performance in Greater China, where we saw significant improvement compared to the first half of fiscal 2019 and return to growth in constant currency. We experienced noticeably better year-over-year comparisons for our iPhone business there than we saw in the last two quarters, and we had sequential improvement in the performance of every category. The combined effects of government stimulus, consumer response to trade-in programs, financing offers, and other sales initiatives, and growing engagement with the broader Apple ecosystem had a positive effect. We were especially pleased with a double-digit increase in services driven by strong growth from the App Store in China. Turning to the future. Last week, we announced an agreement with Intel to acquire the majority of it smartphone modem business. This is our second-largest acquisition by dollars, and our largest ever in terms of staff. We're looking forward to welcoming all of them to Apple. We see this is a great opportunity to work with some of the leading talents in this field, to grow our portfolio of wireless technology patents to over 7,000, to expedite our development of our future products, and to further our long-term strategy of owning and controlling the primary technologies behind the products that we make. We also had our best WWDC ever last month, packed with announcements of great new features coming this fall across our four software platforms, making them more powerful, more personal, and more private. For iPhone users, iOS 13 will take on a dramatic new look with dark mode, while delivering major updates to the apps you use every day including photos, camera, and maps. iOS 13 offers great new ways to help you manage your privacy and security, including sign-on with Apple, which uses Face ID or Touch ID to quickly sign into apps and websites without sharing your personal information. And improvements across the entire system will make iPhone even faster and more delightful to use than ever before. For the first time, iPad is getting its own version of iOS called iPadOS, a strategic step forward that takes the iPad experience to a whole new level. The redesigned home screen, powerful new multitasking tools, and deeper integration with Apple Pencil take productivity and creativity further, including using your iPad as an extended an interactive second monitor for your Mac. For Apple TV, TvOS 13 will make the big screen experience even more personal. With a redesigned home screen and multi-user support, everyone in the family can get a more engaging and tailored experience with their favorite TV shows, movies, sports, and news, along with Apple music photos and videos in iCloud, and an App Store with thousands of great games and apps. WatchOS 6 is a major step forward in helping Apple Watch users stay healthy, active, and connected. Apple Watch now has a dedicated App Store that users can access directly from the device, and new watch faces, Siri enhancements, and music and audio features make Apple Watch more useful than ever. And of course, we continue to innovate on Apple Watch's promise to be an intelligent guardian for your health. WatchOS 6 includes powerful new features like notifications that warned about high-decibel noise to protect your hearing, and cycle tracking to aid in women's healthcare decisions. In the June quarter, we expanded the availability of the ECG app and irregular rhythm notifications to five additional European countries, and added Canada and Singapore just last week, making them available in 31 countries and regions around the world with more to come later this year. We're very proud of the muscle we've built in bringing regulated products like these to market. This is an important competency that creates exciting opportunities for us moving forward. As I noted earlier, we believe Mac OS Catalina will be a breakthrough in the Mac ecosystem. A new tool included in Mac OS Catalina called Mac Catalyst g"
